Fecha;Concepto;Detalle;Débito;Crédito;Saldo
31/08/2022;CRED BCA ELECTR INTERBANC EXEN;CUENTAS PROPIAS 33708528809 I FLOW SA  Referencia: 5014363;;29.100.000,00;2.345.740,46
31/08/2022;CRED BCA ELECTRONICA INTERBANC;PROVEEDORES 30708050675 OPTION SECURITIES S.A.  Referencia: 9967535;;4.734.452,48;-26.754.259,54
31/08/2022;IIBB- Acreditaciones Bancarias;;85.220,14;;-31.488.712,02
31/08/2022;Impuesto Débitos y Créditos/CR;;28.406,71;;-31.403.491,88
31/08/2022;Impuesto Débitos y Créditos/DB;;511,32;;-31.375.085,17
31/08/2022;Rech. Cheques Falla Técnica;Número De Cheque: 42304655;;523.798,12;-31.374.573,85
31/08/2022;Rech. Cheques Falla Técnica;Número De Cheque: 42304629;;261.782,40;-31.898.371,97
31/08/2022;Trf. Masivas Pago Proveedores;CBU:01700053-20000002864037 BENEF: 0-20325072637 REF:VAR-005028640 Referencia: 2202184745;163.888,82;;-32.160.154,37
31/08/2022;Impuesto Débitos y Créditos/DB;;983,33;;-31.996.265,55
31/08/2022;Trf. Masivas Pago Proveedores;CBU:01105353-20053500353468 BENEF: 0-30709860964 REF:VAR-3630535003 Referencia: 2202184747;49.947,00;;-31.995.282,22
31/08/2022;Impuesto Débitos y Créditos/DB;;299,68;;-31.945.335,22
31/08/2022;Trf. Masivas Pago Proveedores;CUIT: 20225235377 BENEF: NUCCETELLI ALFREDO GABRIEL EDU Referencia: 2202184785;29.766,07;;-31.945.035,54
31/08/2022;Impuesto Débitos y Créditos/DB;;178,60;;-31.915.269,47
31/08/2022;Impuesto Débitos y Créditos/DB;;0,25;;-31.915.090,87
31/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1149;1.500.000,00;;-31.915.090,62
31/08/2022;Impuesto Débitos y Créditos/DB;;9.000,00;;-30.415.090,62
31/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1401;1.117.570,11;;-30.406.090,62
31/08/2022;Impuesto Débitos y Créditos/DB;;6.705,42;;-29.288.520,51
31/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1425;501.532,00;;-29.281.815,09
31/08/2022;Impuesto Débitos y Créditos/DB;;3.009,19;;-28.780.283,09
31/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1426;501.532,00;;-28.777.273,90
31/08/2022;Impuesto Débitos y Créditos/DB;;3.009,19;;-28.275.741,90
31/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304601;167.448,57;;-28.272.732,71
31/08/2022;Impuesto Débitos y Créditos/DB;;1.004,69;;-28.105.284,14
31/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304612;103.666,57;;-28.104.279,45
31/08/2022;Impuesto Débitos y Créditos/DB;;622,00;;-28.000.612,88
31/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304629;261.782,40;;-27.999.990,88
31/08/2022;Impuesto Débitos y Créditos/DB;;1.570,69;;-27.738.208,48
31/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304655;523.798,12;;-27.736.637,79
31/08/2022;Impuesto Débitos y Créditos/DB;;3.142,79;;-27.212.839,67
31/08/2022;SIPAP - Pago Cheque de Cámara;Número De Cheque: 42304666;101.001,94;;-27.209.696,88
31/08/2022;Impuesto Débitos y Créditos/DB;;606,01;;-27.108.694,94
31/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 931;1.695.566,91;;-27.108.088,93
31/08/2022;Impuesto Débitos y Créditos/DB;;10.173,40;;-25.412.522,02
31/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1096;2.000.000,00;;-25.402.348,62
31/08/2022;Impuesto Débitos y Créditos/DB;;12.000,00;;-23.402.348,62
31/08/2022;Pago Cheque de Cámara Recibida;Número De Cheque: 1113;2.400.000,00;;-23.390.348,62
31/08/2022;Impuesto Débitos y Créditos/DB;;14.400,00;;-20.990.348,62
31/08/2022;SIPAP - Pago Cámara SPV 24 hs.;Número De Cheque: 42304680;11.967,75;;-20.975.948,62
31/08/2022;Impuesto Débitos y Créditos/DB;;71,81;;-20.963.980,87
30/08/2022;Comisión Consulta Cámara;;35,00;;-20.963.909,06
30/08/2022;IVA;;7,35;;-20.963.874,06
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701773-40000031330741 BENEF: 0-27051907642 REF:VAR-177313307 Referencia: 62103;174.409,93;;-20.963.866,71
30/08/2022;Impuesto Débitos y Créditos/DB;;1.046,46;;-20.789.456,78
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01505344-01000126614397 BENEF: 0-20320473676 REF:VAR-0534011266 Referencia: 62104;101.536,23;;-20.788.410,32
30/08/2022;Impuesto Débitos y Créditos/DB;;609,22;;-20.686.874,09
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07204238-88000035321318 BENEF: 0-20241058043 REF:VAR-0840001579 Referencia: 62030;90.684,15;;-20.686.264,87
30/08/2022;Impuesto Débitos y Créditos/DB;;544,10;;-20.595.580,72
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400472-03513853280710 BENEF: 0-27364410609 REF:VAR-5138532807 Referencia: 62031;99.140,99;;-20.595.036,62
30/08/2022;Impuesto Débitos y Créditos/DB;;594,85;;-20.495.895,63
30/08/2022;Trf. Masivas Pago Proveedores;CBU:04400547-40000339302329 BENEF: 0-20301345748 REF:VAR-4054000339 Referencia: 62033;86.680,00;;-20.495.300,78
30/08/2022;Impuesto Débitos y Créditos/DB;;520,08;;-20.408.620,78
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00703985-30004011268227 BENEF: 0-20301002689 REF:VAR-4011268239 Referencia: 62032;151.131,68;;-20.408.100,70
30/08/2022;Impuesto Débitos y Créditos/DB;;906,79;;-20.256.969,02
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00700283-30004032973883 BENEF: 0-20373505545 REF:VAR-4032973802 Referencia: 62034;141.291,93;;-20.256.062,23
30/08/2022;Impuesto Débitos y Créditos/DB;;847,75;;-20.114.770,30
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07200885-88000038062854 BENEF: 0-23354031329 REF:VAR-0880038062 Referencia: 62035;157.882,91;;-20.113.922,55
30/08/2022;Impuesto Débitos y Créditos/DB;;947,30;;-19.956.039,64
30/08/2022;Trf. Masivas Pago Proveedores;CBU:25900271-20332021430147 BENEF: 0-23220818179 REF:VAR-3320214301 Referencia: 62036;139.481,27;;-19.955.092,34
30/08/2022;Impuesto Débitos y Créditos/DB;;836,89;;-19.815.611,07
30/08/2022;Trf. Masivas Pago Proveedores;CBU:25900400-20203082930177 BENEF: 0-20458923931 REF:VAR-2030829301 Referencia: 62037;140.743,49;;-19.814.774,18
30/08/2022;Impuesto Débitos y Créditos/DB;;844,46;;-19.674.030,69
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07200885-88000038301504 BENEF: 0-20946802426 REF:VAR-0880038301 Referencia: 62039;122.505,17;;-19.673.186,23
30/08/2022;Impuesto Débitos y Créditos/DB;;735,03;;-19.550.681,06
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00701811-30004030119119 BENEF: 0-20263670524 REF:VAR-4030119118 Referencia: 62038;161.000,00;;-19.549.946,03
30/08/2022;Impuesto Débitos y Créditos/DB;;966,00;;-19.388.946,03
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01703199-40000055837299 BENEF: 0-20247960903 REF:VAR-319558372 Referencia: 62041;145.460,00;;-19.387.980,03
30/08/2022;Impuesto Débitos y Créditos/DB;;872,76;;-19.242.520,03
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00702098-30004000604195 BENEF: 0-20269521253 REF:VAR-4000604120 Referencia: 62042;79.511,01;;-19.241.647,27
30/08/2022;Impuesto Débitos y Créditos/DB;;477,07;;-19.162.136,26
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07204863-88000035484822 BENEF: 0-20261746280 REF:VAR-4860035484 Referencia: 62043;63.057,87;;-19.161.659,19
30/08/2022;Impuesto Débitos y Créditos/DB;;378,35;;-19.098.601,32
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00700542-30004058705260 BENEF: 0-27238732285 REF:VAR-4058705205 Referencia: 62044;35.785,03;;-19.098.222,97
30/08/2022;Impuesto Débitos y Créditos/DB;;214,71;;-19.062.437,94
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01404542-03686050391263 BENEF: 0-20389358208 REF:VAR-6860503912 Referencia: 62045;204.974,70;;-19.062.223,23
30/08/2022;Impuesto Débitos y Créditos/DB;;1.229,85;;-18.857.248,53
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00700962-30004029576013 BENEF: 0-20359889128 REF:VAR-4029576009 Referencia: 62048;206.277,00;;-18.856.018,68
30/08/2022;Impuesto Débitos y Créditos/DB;;1.237,66;;-18.649.741,68
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01703342-40000044927170 BENEF: 0-27220060581 REF:VAR-334449271 Referencia: 62047;134.199,61;;-18.648.504,02
30/08/2022;Impuesto Débitos y Créditos/DB;;805,20;;-18.514.304,41
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07200588-30000035817447 BENEF: 0-20247304038 REF:VAR-0580035817 Referencia: 62049;283.597,04;;-18.513.499,21
30/08/2022;Impuesto Débitos y Créditos/DB;;1.701,58;;-18.229.902,17
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07202034-88000036790418 BENEF: 0-20959905321 REF:VAR-2030036790 Referencia: 62050;159.480,00;;-18.228.200,59
30/08/2022;Impuesto Débitos y Créditos/DB;;956,88;;-18.068.720,59
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00703619-30004032022608 BENEF: 0-20305126692 REF:VAR-4032022636 Referencia: 62051;105.128,36;;-18.067.763,71
30/08/2022;Impuesto Débitos y Créditos/DB;;630,77;;-17.962.635,35
30/08/2022;Trf. Masivas Pago Proveedores;CBU:19100032-55000301358514 BENEF: 0-20148198862 REF:VAR-1910030135 Referencia: 62029;147.180,00;;-17.962.004,58
30/08/2022;Impuesto Débitos y Créditos/DB;;883,08;;-17.814.824,58
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01401390-03510153556640 BENEF: 0-20360917429 REF:VAR-5101535566 Referencia: 62028;44.321,56;;-17.813.941,50
30/08/2022;Impuesto Débitos y Créditos/DB;;265,93;;-17.769.619,94
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07203693-88000032967186 BENEF: 0-20344327298 REF:VAR-3690032967 Referencia: 62027;10.774,07;;-17.769.354,01
30/08/2022;Impuesto Débitos y Créditos/DB;;64,64;;-17.758.579,94
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00703138-30004019600210 BENEF: 0-20338123443 REF:VAR-4019600231 Referencia: 62015;162.982,57;;-17.758.515,30
30/08/2022;Impuesto Débitos y Créditos/DB;;977,90;;-17.595.532,73
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01509209-01000114584693 BENEF: 0-20160581434 REF:VAR-0920011145 Referencia: 62007;19.780,40;;-17.594.554,83
30/08/2022;Impuesto Débitos y Créditos/DB;;118,68;;-17.574.774,43
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07205095-88000035063140 BENEF: 0-20082453920 REF:VAR-4860001007 Referencia: 62006;69.983,30;;-17.574.655,75
30/08/2022;Impuesto Débitos y Créditos/DB;;419,90;;-17.504.672,45
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01106387-30063827633779 BENEF: 0-20138823335 REF:VAR-2495638276 Referencia: 62008;105.670,22;;-17.504.252,55
30/08/2022;Impuesto Débitos y Créditos/DB;;634,02;;-17.398.582,33
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01401758-03718451403233 BENEF: 0-20462076321 REF:VAR-7184514032 Referencia: 62009;58.250,06;;-17.397.948,31
30/08/2022;Impuesto Débitos y Créditos/DB;;349,50;;-17.339.698,25
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400311-01509501074040 BENEF: 0-20107751492 REF:VAR-5095010740 Referencia: 62010;166.031,78;;-17.339.348,75
30/08/2022;Impuesto Débitos y Créditos/DB;;996,19;;-17.173.316,97
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07205002-88000035203322 BENEF: 0-23171959659 REF:VAR-5000035203 Referencia: 62011;223.687,50;;-17.172.320,78
30/08/2022;Impuesto Débitos y Créditos/DB;;1.342,13;;-16.948.633,28
30/08/2022;Trf. Masivas Pago Proveedores;CBU:15006341-00063460066346 BENEF: 0-20207422712 REF:VAR-634600663 Referencia: 62012;23.352,52;;-16.947.291,15
30/08/2022;Impuesto Débitos y Créditos/DB;;140,12;;-16.923.938,63
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400960-03503751798071 BENEF: 0-20251796395 REF:VAR-5037517980 Referencia: 62013;32.500,09;;-16.923.798,51
30/08/2022;Impuesto Débitos y Créditos/DB;;195,00;;-16.891.298,42
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00701224-30004160794411 BENEF: 0-23222758939 REF:VAR-4160794412 Referencia: 62014;88.709,22;;-16.891.103,42
30/08/2022;Impuesto Débitos y Créditos/DB;;532,26;;-16.802.394,20
30/08/2022;Trf. Masivas Pago Proveedores;CBU:02900285-10000001061043 BENEF: 0-24319280649 REF:VAR-0000002802 Referencia: 62016;42.095,30;;-16.801.861,94
30/08/2022;Impuesto Débitos y Créditos/DB;;252,57;;-16.759.766,64
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07205187-88000035182436 BENEF: 0-20270004807 REF:VAR-5180035182 Referencia: 62026;90.834,11;;-16.759.514,07
30/08/2022;Impuesto Débitos y Créditos/DB;;545,00;;-16.668.679,96
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01703687-40000000440307 BENEF: 0-20163450497 REF:VAR-368004403 Referencia: 62017;45.355,37;;-16.668.134,96
30/08/2022;Impuesto Débitos y Créditos/DB;;272,13;;-16.622.779,59
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701544-40000004925158 BENEF: 0-20344161608 REF:VAR-154049251 Referencia: 62018;8.224,75;;-16.622.507,46
30/08/2022;Impuesto Débitos y Créditos/DB;;49,35;;-16.614.282,71
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07202065-88000042450618 BENEF: 0-20258031289 REF:VAR-2060042450 Referencia: 62019;169.740,38;;-16.614.233,36
30/08/2022;Impuesto Débitos y Créditos/DB;;1.018,44;;-16.444.492,98
30/08/2022;Trf. Masivas Pago Proveedores;CBU:02900704-10000050032957 BENEF: 0-20937771658 REF:VAR-0000007002 Referencia: 62020;56.060,07;;-16.443.474,54
30/08/2022;Impuesto Débitos y Créditos/DB;;336,36;;-16.387.414,47
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00700429-30004055974193 BENEF: 0-20353590929 REF:VAR-4055974104 Referencia: 62021;8.224,77;;-16.387.078,11
30/08/2022;Impuesto Débitos y Créditos/DB;;49,35;;-16.378.853,34
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400861-03503451607239 BENEF: 0-20241909868 REF:VAR-5034516072 Referencia: 62022;53.200,00;;-16.378.803,99
30/08/2022;Impuesto Débitos y Créditos/DB;;319,20;;-16.325.603,99
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00700153-20000005751853 BENEF: 0-33648454819 REF:VAR-0005751801 Referencia: 62023;16.800,00;;-16.325.284,79
30/08/2022;Impuesto Débitos y Créditos/DB;;100,80;;-16.308.484,79
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01509193-01000122228914 BENEF: 0-23337110479 REF:VAR-0919011222 Referencia: 62024;145.500,15;;-16.308.383,99
30/08/2022;Impuesto Débitos y Créditos/DB;;873,00;;-16.162.883,84
30/08/2022;Trf. Masivas Pago Proveedores;CBU:04400639-40000159825343 BENEF: 0-20299551343 REF:VAR-4063000159 Referencia: 62025;190.722,11;;-16.162.010,84
30/08/2022;Impuesto Débitos y Créditos/DB;;1.144,33;;-15.971.288,73
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01508749-01000005420921 BENEF: 0-20943221996 REF:VAR-0874010054 Referencia: 62052;194.704,82;;-15.970.144,40
30/08/2022;Impuesto Débitos y Créditos/DB;;1.168,23;;-15.775.439,58
30/08/2022;Trf. Masivas Pago Proveedores;CBU:25900837-20081837730128 BENEF: 0-20238422079 REF:VAR-0818377301 Referencia: 62053;109.446,06;;-15.774.271,35
30/08/2022;Impuesto Débitos y Créditos/DB;;656,68;;-15.664.825,29
30/08/2022;Trf. Masivas Pago Proveedores;CBU:19101226-55012202277500 BENEF: 0-23242701704 REF:VAR-1911220227 Referencia: 62054;115.800,00;;-15.664.168,61
30/08/2022;Impuesto Débitos y Créditos/DB;;694,80;;-15.548.368,61
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00702500-30004012467203 BENEF: 0-27265621185 REF:VAR-4012467225 Referencia: 62091;80.964,00;;-15.547.673,81
30/08/2022;Impuesto Débitos y Créditos/DB;;485,78;;-15.466.709,81
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400595-03500251706308 BENEF: 0-24346414290 REF:VAR-5002517063 Referencia: 62083;83.094,60;;-15.466.224,03
30/08/2022;Impuesto Débitos y Créditos/DB;;498,57;;-15.383.129,43
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00700429-30004055974193 BENEF: 0-20353590929 REF:VAR-4055974104 Referencia: 62082;75.277,64;;-15.382.630,86
30/08/2022;Impuesto Débitos y Créditos/DB;;451,67;;-15.307.353,22
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701698-40000032719514 BENEF: 0-20309806183 REF:VAR-169327195 Referencia: 62084;87.160,00;;-15.306.901,55
30/08/2022;Impuesto Débitos y Créditos/DB;;522,96;;-15.219.741,55
30/08/2022;Trf. Masivas Pago Proveedores;CBU:15000183-00006862488532 BENEF: 0-20251430080 REF:VAR-068624885 Referencia: 62085;97.534,70;;-15.219.218,59
30/08/2022;Impuesto Débitos y Créditos/DB;;585,21;;-15.121.683,89
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701186-40000001879168 BENEF: 0-20179516978 REF:VAR-118018791 Referencia: 62086;27.920,00;;-15.121.098,68
30/08/2022;Impuesto Débitos y Créditos/DB;;167,52;;-15.093.178,68
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07207497-88000001997822 BENEF: 0-20295426234 REF:VAR-7490001997 Referencia: 62087;81.799,00;;-15.093.011,16
30/08/2022;Impuesto Débitos y Créditos/DB;;490,79;;-15.011.212,16
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00702500-30004033879692 BENEF: 0-20234265122 REF:VAR-4033879625 Referencia: 62088;74.898,41;;-15.010.721,37
30/08/2022;Impuesto Débitos y Créditos/DB;;449,39;;-14.935.822,96
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07202218-88000039594604 BENEF: 0-20924697335 REF:VAR-2210039594 Referencia: 62090;87.774,00;;-14.935.373,57
30/08/2022;Impuesto Débitos y Créditos/DB;;526,64;;-14.847.599,57
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00700955-30004030724681 BENEF: 0-20346457083 REF:VAR-4030724609 Referencia: 62080;77.686,95;;-14.847.072,93
30/08/2022;Impuesto Débitos y Créditos/DB;;466,12;;-14.769.385,98
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701476-40000003808340 BENEF: 0-20302146579 REF:VAR-147038083 Referencia: 62092;55.475,48;;-14.768.919,86
30/08/2022;Impuesto Débitos y Créditos/DB;;332,85;;-14.713.444,38
30/08/2022;Trf. Masivas Pago Proveedores;CBU:15000787-00012563230314 BENEF: 0-20305733564 REF:VAR-125632303 Referencia: 62093;69.168,00;;-14.713.111,53
30/08/2022;Impuesto Débitos y Créditos/DB;;415,01;;-14.643.943,53
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701421-40000004952213 BENEF: 0-20291184465 REF:VAR-142049522 Referencia: 62095;110.544,00;;-14.643.528,52
30/08/2022;Impuesto Débitos y Créditos/DB;;663,26;;-14.532.984,52
30/08/2022;Trf. Masivas Pago Proveedores;CBU:14300017-13026190950013 BENEF: 0-20375423902 REF:VAR-0002100261 Referencia: 62094;78.929,00;;-14.532.321,26
30/08/2022;Impuesto Débitos y Créditos/DB;;473,57;;-14.453.392,26
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01401123-03502451614876 BENEF: 0-20146281371 REF:VAR-5024516148 Referencia: 62097;52.834,00;;-14.452.918,69
30/08/2022;Impuesto Débitos y Créditos/DB;;317,00;;-14.400.084,69
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01505344-01000126127828 BENEF: 0-27320748319 REF:VAR-0534011261 Referencia: 62100;410.670,00;;-14.399.767,69
30/08/2022;Impuesto Débitos y Créditos/DB;;2.464,02;;-13.989.097,69
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701711-40000030800027 BENEF: 0-20146216286 REF:VAR-171308000 Referencia: 62101;86.149,53;;-13.986.633,67
30/08/2022;Impuesto Débitos y Créditos/DB;;516,90;;-13.900.484,14
30/08/2022;Trf. Masivas Pago Proveedores;CBU:15006471-00064760348396 BENEF: 0-20200075448 REF:VAR-647603483 Referencia: 62102;61.949,00;;-13.899.967,24
30/08/2022;Impuesto Débitos y Créditos/DB;;371,69;;-13.838.018,24
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400779-03504054249255 BENEF: 0-20393746808 REF:VAR-5040542492 Referencia: 62081;61.800,64;;-13.837.646,55
30/08/2022;Impuesto Débitos y Créditos/DB;;370,80;;-13.775.845,91
30/08/2022;Trf. Masivas Pago Proveedores;CBU:15006013-00060160071096 BENEF: 0-20263676514 REF:VAR-601600710 Referencia: 62079;77.957,82;;-13.775.475,11
30/08/2022;Impuesto Débitos y Créditos/DB;;467,75;;-13.697.517,29
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01701506-40000002869104 BENEF: 0-23411722929 REF:VAR-150028691 Referencia: 62056;56.172,00;;-13.697.049,54
30/08/2022;Impuesto Débitos y Créditos/DB;;337,03;;-13.640.877,54
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07200793-88000036956140 BENEF: 0-20219294566 REF:VAR-0790036956 Referencia: 62066;75.704,00;;-13.640.540,51
30/08/2022;Impuesto Débitos y Créditos/DB;;454,22;;-13.564.836,51
30/08/2022;Trf. Masivas Pago Proveedores;CBU:19102274-55022701432296 BENEF: 0-23175655379 REF:VAR-1912270143 Referencia: 62057;34.599,42;;-13.564.382,29
30/08/2022;Impuesto Débitos y Créditos/DB;;207,60;;-13.529.782,87
30/08/2022;Trf. Masivas Pago Proveedores;CBU:15006150-00061561565900 BENEF: 0-20367867729 REF:VAR-615615659 Referencia: 62058;76.566,00;;-13.529.575,27
30/08/2022;Impuesto Débitos y Créditos/DB;;459,40;;-13.453.009,27
30/08/2022;Trf. Masivas Pago Proveedores;CBU:07200380-88000002425168 BENEF: 0-27234776962 REF:VAR-0380002425 Referencia: 62059;151.521,56;;-13.452.549,87
30/08/2022;Impuesto Débitos y Créditos/DB;;909,13;;-13.301.028,31
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400625-03500853185565 BENEF: 0-20085226151 REF:VAR-5008531855 Referencia: 62060;76.469,40;;-13.300.119,18
30/08/2022;Impuesto Débitos y Créditos/DB;;458,82;;-13.223.649,78
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01400304-03509858084488 BENEF: 0-27217285416 REF:VAR-5098580844 Referencia: 62061;72.181,00;;-13.223.190,96
30/08/2022;Impuesto Débitos y Créditos/DB;;433,09;;-13.151.009,96
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00701408-30004034408785 BENEF: 0-20424165728 REF:VAR-4034408714 Referencia: 62062;72.790,51;;-13.150.576,87
30/08/2022;Impuesto Débitos y Créditos/DB;;436,74;;-13.077.786,36
30/08/2022;Trf. Masivas Pago Proveedores;CBU:25900837-20017068930121 BENEF: 0-20122282326 REF:VAR-0170689301 Referencia: 62063;79.917,84;;-13.077.349,62
30/08/2022;Impuesto Débitos y Créditos/DB;;479,51;;-12.997.431,78
30/08/2022;Trf. Masivas Pago Proveedores;CBU:01703083-40000030048487 BENEF: 0-20264530521 REF:VAR-308300484 Referencia: 62064;52.576,00;;-12.996.952,27
30/08/2022;Impuesto Débitos y Créditos/DB;;315,46;;-12.944.376,27
30/08/2022;Trf. Masivas Pago Proveedores;CBU:02900193-10000516833489 BENEF: 0-20163541131 REF:VAR-0004019000 Referencia: 62065;81.670,00;;-12.944.060,81
30/08/2022;Impuesto Débitos y Créditos/DB;;490,02;;-12.862.390,81
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00703084-30004030521930 BENEF: 0-20235103401 REF:VAR-4030521930 Referencia: 62067;98.839,82;;-12.861.900,79
30/08/2022;Impuesto Débitos y Créditos/DB;;593,04;;-12.763.060,97
30/08/2022;Trf. Masivas Pago Proveedores;CBU:00701361-30004027889030 BENEF: 0-20105339748 REF:VAR-4027889013 Referencia: 62078;78.205,00;;-12.762.467,93
30/08/2022;Impuesto Débitos y Créditos/DB;;469,23;;-12.684.262,93
