fecha,concepto_supervielle,concepto_astor,codigo,debito,credito,saldo,objetivo
31/08/2022,Pago Cheque de Cámara Recibida,CHEQUE,1,"1.500.000,00",,"-31.915.090,62",Pago Cheque de Cámara Recibida - Número De Cheque: 1149
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"9.000,00",,"-30.415.090,62",
31/08/2022,Pago Cheque de Cámara Recibida,CHEQUE,1,"1.117.570,11",,"-30.406.090,62",Pago Cheque de Cámara Recibida - Número De Cheque: 1401
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"6.705,42",,"-29.288.520,51",
31/08/2022,Pago Cheque de Cámara Recibida,CHEQUE,1,"501.532,00",,"-29.281.815,09",Pago Cheque de Cámara Recibida - Número De Cheque: 1425
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"3.009,19",,"-28.780.283,09",
31/08/2022,Pago Cheque de Cámara Recibida,CHEQUE,1,"501.532,00",,"-28.777.273,90",Pago Cheque de Cámara Recibida - Número De Cheque: 1426
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"3.009,19",,"-28.275.741,90",
31/08/2022,SIPAP - Pago Cheque de Cámara,CHEQUE,1,"167.448,57",,"-28.272.732,71",SIPAP - Pago Cheque de Cámara - Número De Cheque: 42304601
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.004,69",,"-28.105.284,14",
31/08/2022,SIPAP - Pago Cheque de Cámara,CHEQUE,1,"103.666,57",,"-28.104.279,45",SIPAP - Pago Cheque de Cámara - Número De Cheque: 42304612
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"622,00",,"-28.000.612,88",
31/08/2022,SIPAP - Pago Cheque de Cámara,CHEQUE,1,"261.782,40",,"-27.999.990,88",SIPAP - Pago Cheque de Cámara - Número De Cheque: 42304629
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.570,69",,"-27.738.208,48",
31/08/2022,SIPAP - Pago Cheque de Cámara,CHEQUE,1,"523.798,12",,"-27.736.637,79",SIPAP - Pago Cheque de Cámara - Número De Cheque: 42304655
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"3.142,79",,"-27.212.839,67",
31/08/2022,SIPAP - Pago Cheque de Cámara,CHEQUE,1,"101.001,94",,"-27.209.696,88",SIPAP - Pago Cheque de Cámara - Número De Cheque: 42304666
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"606,01",,"-27.108.694,94",
31/08/2022,Pago Cheque de Cámara Recibida,CHEQUE,1,"1.695.566,91",,"-27.108.088,93",Pago Cheque de Cámara Recibida - Número De Cheque: 931
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"10.173,40",,"-25.412.522,02",
31/08/2022,Pago Cheque de Cámara Recibida,CHEQUE,1,"2.000.000,00",,"-25.402.348,62",Pago Cheque de Cámara Recibida - Número De Cheque: 1096
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"12.000,00",,"-23.402.348,62",
31/08/2022,Pago Cheque de Cámara Recibida,CHEQUE,1,"2.400.000,00",,"-23.390.348,62",Pago Cheque de Cámara Recibida - Número De Cheque: 1113
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"14.400,00",,"-20.990.348,62",
31/08/2022,SIPAP - Pago Cámara SPV 24 hs.,CHEQUE,1,"11.967,75",,"-20.975.948,62",SIPAP - Pago Cámara SPV 24 hs. - Número De Cheque: 42304680
31/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"71,81",,"-20.963.980,87",
30/08/2022,Comisión Consulta Cámara,COMISIONES,2,"35,00",,"-20.963.909,06",Comisión Consulta Cámara - 
30/08/2022,IVA,IVA,7,"7,35",,"-20.963.874,06",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"174.409,93",,"-20.963.866,71",Trf. Masivas Pago Proveedores - CBU:01701773-40000031330741 BENEF: 0-27051907642 REF:VAR-177313307 Referencia: 62103
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.046,46",,"-20.789.456,78",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"101.536,23",,"-20.788.410,32",Trf. Masivas Pago Proveedores - CBU:01505344-01000126614397 BENEF: 0-20320473676 REF:VAR-0534011266 Referencia: 62104
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"609,22",,"-20.686.874,09",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"90.684,15",,"-20.686.264,87",Trf. Masivas Pago Proveedores - CBU:07204238-88000035321318 BENEF: 0-20241058043 REF:VAR-0840001579 Referencia: 62030
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"544,10",,"-20.595.580,72",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"99.140,99",,"-20.595.036,62",Trf. Masivas Pago Proveedores - CBU:01400472-03513853280710 BENEF: 0-27364410609 REF:VAR-5138532807 Referencia: 62031
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"594,85",,"-20.495.895,63",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"86.680,00",,"-20.495.300,78",Trf. Masivas Pago Proveedores - CBU:04400547-40000339302329 BENEF: 0-20301345748 REF:VAR-4054000339 Referencia: 62033
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"520,08",,"-20.408.620,78",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"151.131,68",,"-20.408.100,70",Trf. Masivas Pago Proveedores - CBU:00703985-30004011268227 BENEF: 0-20301002689 REF:VAR-4011268239 Referencia: 62032
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"906,79",,"-20.256.969,02",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"141.291,93",,"-20.256.062,23",Trf. Masivas Pago Proveedores - CBU:00700283-30004032973883 BENEF: 0-20373505545 REF:VAR-4032973802 Referencia: 62034
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"847,75",,"-20.114.770,30",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"157.882,91",,"-20.113.922,55",Trf. Masivas Pago Proveedores - CBU:07200885-88000038062854 BENEF: 0-23354031329 REF:VAR-0880038062 Referencia: 62035
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"947,30",,"-19.956.039,64",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"139.481,27",,"-19.955.092,34",Trf. Masivas Pago Proveedores - CBU:25900271-20332021430147 BENEF: 0-23220818179 REF:VAR-3320214301 Referencia: 62036
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"836,89",,"-19.815.611,07",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"140.743,49",,"-19.814.774,18",Trf. Masivas Pago Proveedores - CBU:25900400-20203082930177 BENEF: 0-20458923931 REF:VAR-2030829301 Referencia: 62037
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"844,46",,"-19.674.030,69",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"122.505,17",,"-19.673.186,23",Trf. Masivas Pago Proveedores - CBU:07200885-88000038301504 BENEF: 0-20946802426 REF:VAR-0880038301 Referencia: 62039
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"735,03",,"-19.550.681,06",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"161.000,00",,"-19.549.946,03",Trf. Masivas Pago Proveedores - CBU:00701811-30004030119119 BENEF: 0-20263670524 REF:VAR-4030119118 Referencia: 62038
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"966,00",,"-19.388.946,03",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"145.460,00",,"-19.387.980,03",Trf. Masivas Pago Proveedores - CBU:01703199-40000055837299 BENEF: 0-20247960903 REF:VAR-319558372 Referencia: 62041
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"872,76",,"-19.242.520,03",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"79.511,01",,"-19.241.647,27",Trf. Masivas Pago Proveedores - CBU:00702098-30004000604195 BENEF: 0-20269521253 REF:VAR-4000604120 Referencia: 62042
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"477,07",,"-19.162.136,26",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"63.057,87",,"-19.161.659,19",Trf. Masivas Pago Proveedores - CBU:07204863-88000035484822 BENEF: 0-20261746280 REF:VAR-4860035484 Referencia: 62043
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"378,35",,"-19.098.601,32",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"35.785,03",,"-19.098.222,97",Trf. Masivas Pago Proveedores - CBU:00700542-30004058705260 BENEF: 0-27238732285 REF:VAR-4058705205 Referencia: 62044
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"214,71",,"-19.062.437,94",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"204.974,70",,"-19.062.223,23",Trf. Masivas Pago Proveedores - CBU:01404542-03686050391263 BENEF: 0-20389358208 REF:VAR-6860503912 Referencia: 62045
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.229,85",,"-18.857.248,53",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"206.277,00",,"-18.856.018,68",Trf. Masivas Pago Proveedores - CBU:00700962-30004029576013 BENEF: 0-20359889128 REF:VAR-4029576009 Referencia: 62048
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.237,66",,"-18.649.741,68",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"134.199,61",,"-18.648.504,02",Trf. Masivas Pago Proveedores - CBU:01703342-40000044927170 BENEF: 0-27220060581 REF:VAR-334449271 Referencia: 62047
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"805,20",,"-18.514.304,41",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"283.597,04",,"-18.513.499,21",Trf. Masivas Pago Proveedores - CBU:07200588-30000035817447 BENEF: 0-20247304038 REF:VAR-0580035817 Referencia: 62049
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.701,58",,"-18.229.902,17",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"159.480,00",,"-18.228.200,59",Trf. Masivas Pago Proveedores - CBU:07202034-88000036790418 BENEF: 0-20959905321 REF:VAR-2030036790 Referencia: 62050
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"956,88",,"-18.068.720,59",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"105.128,36",,"-18.067.763,71",Trf. Masivas Pago Proveedores - CBU:00703619-30004032022608 BENEF: 0-20305126692 REF:VAR-4032022636 Referencia: 62051
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"630,77",,"-17.962.635,35",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"147.180,00",,"-17.962.004,58",Trf. Masivas Pago Proveedores - CBU:19100032-55000301358514 BENEF: 0-20148198862 REF:VAR-1910030135 Referencia: 62029
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"883,08",,"-17.814.824,58",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"44.321,56",,"-17.813.941,50",Trf. Masivas Pago Proveedores - CBU:01401390-03510153556640 BENEF: 0-20360917429 REF:VAR-5101535566 Referencia: 62028
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"265,93",,"-17.769.619,94",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"10.774,07",,"-17.769.354,01",Trf. Masivas Pago Proveedores - CBU:07203693-88000032967186 BENEF: 0-20344327298 REF:VAR-3690032967 Referencia: 62027
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"64,64",,"-17.758.579,94",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"162.982,57",,"-17.758.515,30",Trf. Masivas Pago Proveedores - CBU:00703138-30004019600210 BENEF: 0-20338123443 REF:VAR-4019600231 Referencia: 62015
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"977,90",,"-17.595.532,73",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"19.780,40",,"-17.594.554,83",Trf. Masivas Pago Proveedores - CBU:01509209-01000114584693 BENEF: 0-20160581434 REF:VAR-0920011145 Referencia: 62007
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"118,68",,"-17.574.774,43",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"69.983,30",,"-17.574.655,75",Trf. Masivas Pago Proveedores - CBU:07205095-88000035063140 BENEF: 0-20082453920 REF:VAR-4860001007 Referencia: 62006
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"419,90",,"-17.504.672,45",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"105.670,22",,"-17.504.252,55",Trf. Masivas Pago Proveedores - CBU:01106387-30063827633779 BENEF: 0-20138823335 REF:VAR-2495638276 Referencia: 62008
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"634,02",,"-17.398.582,33",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"58.250,06",,"-17.397.948,31",Trf. Masivas Pago Proveedores - CBU:01401758-03718451403233 BENEF: 0-20462076321 REF:VAR-7184514032 Referencia: 62009
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"349,50",,"-17.339.698,25",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"166.031,78",,"-17.339.348,75",Trf. Masivas Pago Proveedores - CBU:01400311-01509501074040 BENEF: 0-20107751492 REF:VAR-5095010740 Referencia: 62010
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"996,19",,"-17.173.316,97",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"223.687,50",,"-17.172.320,78",Trf. Masivas Pago Proveedores - CBU:07205002-88000035203322 BENEF: 0-23171959659 REF:VAR-5000035203 Referencia: 62011
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.342,13",,"-16.948.633,28",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"23.352,52",,"-16.947.291,15",Trf. Masivas Pago Proveedores - CBU:15006341-00063460066346 BENEF: 0-20207422712 REF:VAR-634600663 Referencia: 62012
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"140,12",,"-16.923.938,63",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"32.500,09",,"-16.923.798,51",Trf. Masivas Pago Proveedores - CBU:01400960-03503751798071 BENEF: 0-20251796395 REF:VAR-5037517980 Referencia: 62013
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"195,00",,"-16.891.298,42",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"88.709,22",,"-16.891.103,42",Trf. Masivas Pago Proveedores - CBU:00701224-30004160794411 BENEF: 0-23222758939 REF:VAR-4160794412 Referencia: 62014
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"532,26",,"-16.802.394,20",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"42.095,30",,"-16.801.861,94",Trf. Masivas Pago Proveedores - CBU:02900285-10000001061043 BENEF: 0-24319280649 REF:VAR-0000002802 Referencia: 62016
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"252,57",,"-16.759.766,64",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"90.834,11",,"-16.759.514,07",Trf. Masivas Pago Proveedores - CBU:07205187-88000035182436 BENEF: 0-20270004807 REF:VAR-5180035182 Referencia: 62026
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"545,00",,"-16.668.679,96",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"45.355,37",,"-16.668.134,96",Trf. Masivas Pago Proveedores - CBU:01703687-40000000440307 BENEF: 0-20163450497 REF:VAR-368004403 Referencia: 62017
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"272,13",,"-16.622.779,59",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"8.224,75",,"-16.622.507,46",Trf. Masivas Pago Proveedores - CBU:01701544-40000004925158 BENEF: 0-20344161608 REF:VAR-154049251 Referencia: 62018
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"49,35",,"-16.614.282,71",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"169.740,38",,"-16.614.233,36",Trf. Masivas Pago Proveedores - CBU:07202065-88000042450618 BENEF: 0-20258031289 REF:VAR-2060042450 Referencia: 62019
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.018,44",,"-16.444.492,98",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"56.060,07",,"-16.443.474,54",Trf. Masivas Pago Proveedores - CBU:02900704-10000050032957 BENEF: 0-20937771658 REF:VAR-0000007002 Referencia: 62020
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"336,36",,"-16.387.414,47",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"8.224,77",,"-16.387.078,11",Trf. Masivas Pago Proveedores - CBU:00700429-30004055974193 BENEF: 0-20353590929 REF:VAR-4055974104 Referencia: 62021
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"49,35",,"-16.378.853,34",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"53.200,00",,"-16.378.803,99",Trf. Masivas Pago Proveedores - CBU:01400861-03503451607239 BENEF: 0-20241909868 REF:VAR-5034516072 Referencia: 62022
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"319,20",,"-16.325.603,99",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"16.800,00",,"-16.325.284,79",Trf. Masivas Pago Proveedores - CBU:00700153-20000005751853 BENEF: 0-33648454819 REF:VAR-0005751801 Referencia: 62023
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"100,80",,"-16.308.484,79",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"145.500,15",,"-16.308.383,99",Trf. Masivas Pago Proveedores - CBU:01509193-01000122228914 BENEF: 0-23337110479 REF:VAR-0919011222 Referencia: 62024
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"873,00",,"-16.162.883,84",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"190.722,11",,"-16.162.010,84",Trf. Masivas Pago Proveedores - CBU:04400639-40000159825343 BENEF: 0-20299551343 REF:VAR-4063000159 Referencia: 62025
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.144,33",,"-15.971.288,73",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"194.704,82",,"-15.970.144,40",Trf. Masivas Pago Proveedores - CBU:01508749-01000005420921 BENEF: 0-20943221996 REF:VAR-0874010054 Referencia: 62052
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"1.168,23",,"-15.775.439,58",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"109.446,06",,"-15.774.271,35",Trf. Masivas Pago Proveedores - CBU:25900837-20081837730128 BENEF: 0-20238422079 REF:VAR-0818377301 Referencia: 62053
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"656,68",,"-15.664.825,29",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"115.800,00",,"-15.664.168,61",Trf. Masivas Pago Proveedores - CBU:19101226-55012202277500 BENEF: 0-23242701704 REF:VAR-1911220227 Referencia: 62054
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"694,80",,"-15.548.368,61",
30/08/2022,Trf. Masivas Pago Proveedores,TRANSFERENCIA,12,"80.964,00",,"-15.547.673,81",Trf. Masivas Pago Proveedores - CBU:00702500-30004012467203 BENEF: 0-27265621185 REF:VAR-4012467225 Referencia: 62091
30/08/2022,Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5,"485,78",,"-15.466.709,81",
